trial_num,subj_code,seed,part,plan_or_exec,movement,correct,reaction_time
1,S001,1,foot_r,plan,leftright,,10000.0
2,S001,1,foot_r,exec,leftright,1,8216.0
3,S001,1,hand_r,plan,clockwise,,4628.0
4,S001,1,hand_r,exec,clockwise,1,2303.0
5,S001,1,foot_r,plan,clockwise,,4925.0
6,S001,1,foot_r,exec,clockwise,0,552.0
7,S001,1,foot_l,plan,clockwise,,2820.0
8,S001,1,foot_l,exec,clockwise,0,2624.0
9,S001,1,hand_l,plan,leftright,,10000.0
10,S001,1,hand_l,exec,leftright,1,4891.0
11,S001,1,hand_r,plan,leftright,,1852.0
12,S001,1,hand_r,exec,leftright,0,1615.0
13,S001,1,foot_r,plan,leftright,,946.0
14,S001,1,foot_r,exec,leftright,1,2838.0
15,S001,1,foot_l,plan,leftright,,1264.0
16,S001,1,foot_l,exec,leftright,0,302.0
17,S001,1,hand_l,plan,counterclockwise,,1279.0
18,S001,1,hand_l,exec,counterclockwise,0,1067.0
19,S001,1,hand_r,plan,counterclockwise,,622.0
20,S001,1,hand_r,exec,counterclockwise,0,803.0
21,S001,1,foot_r,plan,counterclockwise,,650.0
