trial_num,subj_code,seed,part,movement,correct,plan_temporal_jitter,exec_temporal_jitter,exec_reaction_time,key_press
1,SZ,13,foot_r,counterclockwise,slow,6.3,4.9,4900.0,None
2,SZ,13,foot_l,clockwise,1,6.2,6.3,5197.0,['c']
3,SZ,13,foot_l,counterclockwise,1,6.1,4.5,3304.0,['c']
4,SZ,13,hand_r,clockwise,1,5.4,5.8,2890.0,['c']
5,SZ,13,foot_l,counterclockwise,slow,5.4,5.3,5300.0,None
6,SZ,13,foot_r,clockwise,1,2.9,5.6,3911.0,['c']
7,SZ,13,hand_l,leftright,0,5.7,8.3,4038.0,['i']
8,SZ,13,hand_r,leftright,1,4.1,7.2,3684.0,['c']
9,SZ,13,foot_l,leftright,0,2.3,8.5,2747.0,['i']
10,SZ,13,hand_r,clockwise,slow,2.9,6.7,6700.0,None
11,SZ,13,foot_r,leftright,slow,6.2,5.5,5500.0,None
12,SZ,13,foot_l,clockwise,1,5.1,5.7,2368.0,['c']
13,SZ,13,foot_r,counterclockwise,1,5.1,5.3,2623.0,['c']
14,SZ,13,foot_l,leftright,1,5.0,8.3,3808.0,['c']
15,SZ,13,foot_r,clockwise,1,3.8,8.1,3198.0,['c']
16,SZ,13,hand_l,leftright,1,5.6,7.1,2235.0,['c']
17,SZ,13,foot_r,leftright,slow,4.5,5.8,5800.0,None
18,SZ,13,hand_r,clockwise,1,6.5,6.1,2178.0,['c']
19,SZ,13,hand_r,clockwise,1,6.4,6.8,2640.0,['c']
20,SZ,13,hand_r,leftright,1,6.0,5.6,3076.0,['c']
21,SZ,13,foot_r,leftright,1,3.1,7.3,2206.0,['c']
22,SZ,13,hand_r,counterclockwise,slow,2.2,4.0,4000.0,None
23,SZ,13,foot_r,counterclockwise,1,3.5,5.9,2620.0,['c']
24,SZ,13,hand_l,clockwise,1,2.5,8.5,4985.0,['c']
25,SZ,13,hand_l,counterclockwise,1,5.3,8.4,1767.0,['c']
26,SZ,13,hand_r,leftright,1,2.0,7.8,3364.0,['c']
27,SZ,13,hand_l,leftright,1,2.3,4.1,4026.0,['c']
28,SZ,13,foot_r,counterclockwise,1,3.4,8.1,2337.0,['c']
29,SZ,13,foot_r,clockwise,1,2.7,8.1,3134.0,['c']
30,SZ,13,hand_r,counterclockwise,1,4.3,8.3,3505.0,['c']
31,SZ,13,hand_r,counterclockwise,1,5.0,6.6,2383.0,['c']
32,SZ,13,hand_l,clockwise,1,5.0,7.4,3051.0,['c']
33,SZ,13,foot_l,leftright,1,3.7,4.9,4377.0,['c']
34,SZ,13,foot_l,clockwise,slow,5.1,6.8,6800.0,None
35,SZ,13,hand_r,counterclockwise,1,2.1,6.7,2820.0,['c']
36,SZ,13,hand_l,counterclockwise,1,3.2,5.0,2643.0,['c']
37,SZ,13,foot_l,counterclockwise,1,3.9,4.2,2139.0,['c']
38,SZ,13,hand_l,leftright,1,4.8,5.3,2382.0,['c']
39,SZ,13,foot_r,clockwise,1,3.7,4.9,2906.0,['c']
40,SZ,13,foot_l,clockwise,slow,2.3,4.7,4700.0,None
41,SZ,13,foot_l,leftright,1,6.1,8.0,2135.0,['c']
42,SZ,13,hand_l,counterclockwise,1,3.1,4.8,4280.0,['c']
