subj_code,seed,part,plan_or_exec,correct,reaction_time
S001,1,foot_r,plan,1,475.0
S001,1,foot_r,plan,1,326.0
S001,1,hand_r,plan,1,381.0
S001,1,hand_l,plan,1,305.0
S001,1,hand_r,plan,1,389.0
S001,1,hand_l,exec,1,338.0
S001,1,hand_r,plan,1,382.0
S001,1,foot_r,exec,1,400.0
S001,1,hand_l,plan,1,313.0
S001,1,hand_r,exec,1,351.0
S001,1,foot_r,exec,1,415.0
S001,1,hand_r,plan,1,354.0
S001,1,foot_l,plan,1,449.0
S001,1,hand_r,plan,1,437.0
S001,1,foot_l,plan,1,352.0
S001,1,foot_l,plan,1,388.0
S001,1,hand_l,plan,1,333.0
S001,1,hand_l,exec,1,302.0
S001,1,foot_l,exec,1,355.0
S001,1,foot_r,exec,0,378.0
S001,1,foot_l,exec,1,639.0
S001,1,foot_r,plan,0,268.0
S001,1,foot_r,plan,1,419.0
S001,1,foot_l,exec,0,270.0
S001,1,hand_r,exec,1,602.0
S001,1,foot_l,plan,1,475.0
S001,1,hand_l,exec,1,408.0
S001,1,foot_r,exec,1,508.0
S001,1,foot_l,exec,1,481.0
S001,1,hand_l,exec,1,466.0
S001,1,hand_r,plan,1,384.0
S001,1,foot_r,plan,1,338.0
S001,1,hand_l,plan,0,363.0
S001,1,foot_l,plan,1,378.0
S001,1,foot_r,exec,0,328.0
S001,1,hand_l,exec,1,450.0
S001,1,hand_r,exec,1,596.0
S001,1,hand_l,plan,1,358.0
S001,1,foot_r,exec,1,378.0
S001,1,foot_r,plan,1,387.0
S001,1,hand_r,exec,1,449.0
S001,1,foot_l,plan,1,504.0
S001,1,foot_l,exec,1,424.0
S001,1,hand_l,plan,1,458.0
S001,1,foot_l,exec,1,533.0
S001,1,hand_r,exec,1,455.0
S001,1,hand_l,exec,1,472.0
S001,1,foot_r,plan,1,441.0
S001,1,hand_l,plan,1,461.0
S001,1,hand_r,exec,1,421.0
